comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
som,2,2,0.898803954170449,238.0656781537194,0.9770917418711057,8.561425197085534e-05,0.048699589253534466,0.3181132594368726,inf,0.0055047897835685195,0.007228140811900543,0.9872670694045309,carbon_02,PFT02,Passive,asp,BaggingRegressor
som,2,3,0.8972756546633178,196.18850482667673,1.0062249909659828,8.690722955726076e-05,0.04646682303181696,0.3205063889171045,inf,0.010640518143682127,0.029986119822008845,0.959373362034309,carbon_03,PFT03,Passive,asp,XGBRegressor
som,2,4,0.9719101723863283,176.6481693846532,0.9883009620252992,2.376465957163431e-05,0.029908758180009452,0.16760020171130985,inf,0.0011144392099481889,0.00019285721485847503,0.9986927035751932,carbon_04,PFT04,Passive,asp,XGBRegressor
som,2,5,0.7015082446662537,429.45766115836693,0.6555515428599388,0.00025253109588303405,0.053178946515910985,0.5463439899310197,inf,0.008137877880443628,0.1633174914133528,0.8285446307062035,carbon_05,PFT05,Passive,asp,BaggingRegressor
som,2,6,0.9717907346747562,260.29728559502814,1.0022793591751762,2.3865706704943977e-05,0.036424580684377754,0.16795614107630533,inf,0.003346029328367406,0.009309631113404491,0.9873443395582282,carbon_06,PFT06,Passive,asp,XGBRegressor
som,2,7,0.9347642162765205,272.2586734802952,0.9124163427347588,5.519101837857824e-05,0.05617473182375091,0.25541296702297533,inf,0.012480978381264947,0.04979907823059047,0.9377199433881446,carbon_07,PFT07,Passive,asp,XGBRegressor
som,2,8,0.9596657011683931,231.08834042371183,0.9290131527402257,3.412377227716319e-05,0.05037894353115483,0.20083400815501065,inf,0.008031916527133864,0.06795052641136587,0.9240175570615002,carbon_08,PFT08,Passive,asp,XGBRegressor
som,2,9,-0.06660335748179325,290.2382995705871,1.4817690885758801e-30,0.019392788317850785,0.2551541207866468,1.0327649091065174,1.2509357310748455,0.062444353859002405,0.9375556461409931,4.4914240703522556e-15,carbon_09,PFT09,Passive,asp,NoneType
som,2,10,0.9743581276983402,204.49340423842727,0.9842118634235538,2.169363138888311e-05,0.038084922843612944,0.16013079748024686,0.7550412890393756,4.779573908731587e-07,0.00034437954244203846,0.999655142500167,carbon_10,PFT10,Passive,asp,XGBRegressor
som,2,11,0.9754341385113141,186.20783134072335,1.0169644950162753,2.078330075184933e-05,0.0252573307229955,0.1567350040312818,inf,0.004202975003095309,0.03372082413735098,0.9620762008595536,carbon_11,PFT11,Passive,asp,XGBRegressor
som,2,12,0.9769214483574278,167.05136440524942,0.9755672707484797,1.9525001389654962e-05,0.038492059644370955,0.1519162652337536,inf,0.00665789108737098,0.007385479864425528,0.9859566290482036,carbon_12,PFT12,Passive,asp,BaggingRegressor
som,2,13,0.934750367270314,78.97073613327125,0.9917083781074697,5.520273496589336e-05,0.024743775475452822,0.25544007659270296,inf,0.0008551761758098268,0.008840064448191852,0.9903047593759983,carbon_13,PFT13,Passive,asp,XGBRegressor
som,2,14,0.8885336766176786,40.00752535089826,1.0039035880048437,9.43031500696459e-05,0.0190106134281226,0.3338657265763011,inf,0.0005828489341982721,0.03010310330149541,0.9693140477643064,carbon_14,PFT14,Passive,asp,XGBRegressor
som,2,15,0.9173224267855471,272.26896588794807,0.8904763274263172,6.994718546062005e-05,0.06660868826830695,0.2875370814598578,0.22363281162414955,0.000284004777239357,0.06045003047587388,0.9392659647468868,carbon_15,PFT15,Passive,asp,BaggingRegressor
som,3,2,0.9565563671353677,119.03141235764994,0.977745761273482,3.67543425250696e-05,0.03790612712700598,0.20843136247847222,inf,0.0034895097219579795,8.520412988535304e-06,0.9965019698650535,carbon_02,PFT02,Slow,asp,BaggingRegressor
som,3,3,0.9772179834760149,69.64832160197808,0.9961513689325566,1.9274125654809744e-05,0.023708910287451788,0.1509371277187463,inf,0.00562100716222762,0.0024366293427930397,0.9919423634949794,carbon_03,PFT03,Slow,asp,XGBRegressor
som,3,4,0.9800283033506095,57.63208382024492,1.0026852164184485,1.689652846818145e-05,0.030984007665070094,0.14132125335345166,inf,0.0003491436943788475,0.0079345502499241,0.991716306055697,carbon_04,PFT04,Slow,asp,XGBRegressor
som,3,5,0.9706552917036594,65.93306697280336,0.9481283699731445,2.482631835561815e-05,0.02796546648341594,0.17130297223440302,inf,0.008933075844665468,0.049349219540408086,0.9417177046149265,carbon_05,PFT05,Slow,asp,XGBRegressor
som,3,6,0.981302500327723,97.76555650847342,0.9762448966717984,1.5818527641520313e-05,0.02943517424562505,0.13673880090258583,inf,0.0007839279889994022,0.011274438186090257,0.9879416338249103,carbon_06,PFT06,Slow,asp,BaggingRegressor
som,3,7,0.9668189608249503,49.83746753481989,0.9402314984296788,2.8071945156556386e-05,0.04133607570248295,0.1821566336289998,inf,0.012941610831785078,0.05935168398928484,0.9277067051789302,carbon_07,PFT07,Slow,asp,XGBRegressor
som,3,8,0.977547520107515,44.97532224890063,0.9642979099933313,1.8995329858278296e-05,0.033977665301050425,0.14984151591760192,inf,0.0023520877861918734,0.027415113343587327,0.9702327988702207,carbon_08,PFT08,Slow,asp,BaggingRegressor
som,3,9,-0.19985150579874222,39.08935139094361,-9.687853420083057e-31,0.021815481923613496,0.23001255672850848,1.0953773348936624,0.9584019022425603,0.1665635329312698,0.8334364670687289,1.3392626680752345e-15,carbon_09,PFT09,Slow,asp,NoneType
som,3,10,0.983254422054603,65.81983925545858,0.9917673011519801,1.4167155622163254e-05,0.03085438786770595,0.12940470604037926,0.4894882123906379,0.00012205057711948681,1.1547693984818507e-06,0.9998767946534821,carbon_10,PFT10,Slow,asp,XGBRegressor
som,3,11,0.972673717739002,139.23599940559382,1.022042901474231,2.311868211590351e-05,0.020850363789159054,0.16530663102549142,inf,0.006681633325255859,0.04483420763118653,0.9484841590435575,carbon_11,PFT11,Slow,asp,XGBRegressor
som,3,12,0.9696165331322054,89.06604879124407,1.0014839402222768,2.5705132713870223e-05,0.04075069458298584,0.1743085392853563,inf,0.030171068784705758,0.008518478987953852,0.9613104522273405,carbon_12,PFT12,Slow,asp,XGBRegressor
som,3,13,0.8877271025964635,69.32455110962495,0.9314149864058863,9.49855307982543e-05,0.02816206018557508,0.335071481035818,inf,0.00037899605157788307,0.0014025353086384528,0.9982184686397837,carbon_13,PFT13,Slow,asp,XGBRegressor
som,3,14,0.9460768285825851,20.82279148050567,0.9559509451543644,4.5620280386983766e-05,0.015044994680716024,0.2322136331428773,inf,0.0009655298704431041,0.005526267074407884,0.9935082030551491,carbon_14,PFT14,Slow,asp,BaggingRegressor
som,3,15,0.971110590372589,36.29359438159016,0.9714259588152564,2.4441124896286854e-05,0.050092118371701105,0.16996884899125211,0.16804596461221413,0.000273910140603953,0.007013780467496238,0.9927123093918997,carbon_15,PFT15,Slow,asp,XGBRegressor
biomass,1,2,0.9475335997213715,27.369755941190874,0.9855770760200063,4.438781749460957e-05,0.0597515711410161,0.22905545240973532,inf,0.00551001424826122,0.0025640118916880773,0.9919259738600507,biomass_01,PFT02,Leaf,pft,BaggingRegressor
biomass,1,3,0.8276812490498716,16.194735394588346,0.8932524811681286,0.00014578574530467716,0.08408193631704505,0.41511293758461487,inf,2.6360788413758092e-05,0.00251235664010662,0.9974612825714796,biomass_01,PFT03,Leaf,pft,MLPRegressor
biomass,1,4,0.9917728952275182,11.529891588255763,1.002315199829568,6.960325526634298e-06,0.022523113397754035,0.09070338898013536,inf,0.0007590180821226821,0.004986629850767148,0.9942543520671102,biomass_01,PFT04,Leaf,pft,XGBRegressor
biomass,1,5,0.8514645383429871,17.501243349533343,0.85570782333869,0.00012566451916836967,0.08734955038671181,0.3854029860509814,inf,0.010259725939026439,0.03635679182718758,0.9533834822337861,biomass_01,PFT05,Leaf,pft,BaggingRegressor
biomass,1,6,0.8870615931055477,4.323287649427396,0.9239197294193652,9.55485675925993e-05,0.02248807076636079,0.33606309957276237,inf,0.00010859976736283851,0.003476003161237276,0.9964153970713997,biomass_01,PFT06,Leaf,pft,BaggingRegressor
biomass,1,7,0.9718965435188114,16.686160647569164,1.0074999461723546,2.377618991640327e-05,0.04620191590559409,0.16764085564440628,inf,5.6611838572330165e-06,0.016180320393653955,0.9838140184224887,biomass_01,PFT07,Leaf,pft,XGBRegressor
biomass,1,8,1.0,0.0,1.0,,,,,,,,biomass_01,PFT08,Leaf,pft,NoneType
biomass,1,9,1.0,0.0,1.0,,,,,,,,biomass_01,PFT09,Leaf,pft,NoneType
biomass,1,10,0.695351535457961,4.053801129448742,0.8685038608165204,0.00025773981771746107,0.062291119895654654,0.5519496938508427,1513.895174959833,0.0034785044870036166,0.0013256634992532368,0.9951958320137433,biomass_01,PFT10,Leaf,pft,XGBRegressor
