comp,var,ind,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,alg
litter,litter_07_be,2,0.9795078712500016,17.97559343052013,0.9611604806996437,4.886058357176544e-06,0.02921214418464722,0.14315072039636556,inf,0.006580975213304158,0.04127772644315325,0.9521412983435426,Pipeline
litter,litter_08_ab,1,0.9923555794409075,2.1125916893636907,0.9905711126251363,1.8227039959686621e-06,0.018323542384105242,0.08743237706417784,inf,1.4846386822512532e-05,0.004135429156298728,0.9958497244568789,Pipeline
litter,litter_08_ab,2,0.9790225696648855,35.56885878765696,0.9758835280955412,5.001771658348715e-06,0.03251714491555669,0.14483587378517282,inf,2.74349993761821e-05,0.008976247308137647,0.9909963176924862,Pipeline
litter,litter_08_be,1,0.9870656366812942,1.6072854397176222,0.9831612588168799,3.0840160511935656e-06,0.02244105028292676,0.11372934238227976,inf,0.0002831953279881246,0.008406921763979452,0.9913098829080323,Pipeline
litter,litter_08_be,2,0.9853223540771306,16.28476404882817,0.9804594457277994,3.499677139453815e-06,0.029704222409065097,0.12115133479606943,inf,0.0007793158770716211,0.010278846470975636,0.9889418376519529,Pipeline
litter,litter_09_ab,1,0.993540404039452,0.6260106499632953,0.9942582127782532,1.540199322972812e-06,0.013791084517464502,0.08037161165827131,inf,3.3579320752528174e-05,0.0009794014609423264,0.9989870192183052,Pipeline
litter,litter_09_ab,2,0.9868922824429323,8.767739619545068,0.9685495464057706,3.1253499182326427e-06,0.020627353054158408,0.11448894076314842,inf,0.001586670278956876,0.04854453660618904,0.9498687931148541,Pipeline
litter,litter_09_be,1,0.9951169630172627,0.4108583033880687,0.9998026355789915,1.1642911260699245e-06,0.013148039111496512,0.06987873054612014,inf,0.0004684752682946759,0.0010280163500217849,0.9985035083816836,Pipeline
litter,litter_09_be,2,0.9934408900599044,4.534600769877009,0.9830488575999915,1.563927024343234e-06,0.015589808336187071,0.08098833212318628,inf,0.0008057639043922559,0.028904225631927103,0.9702900104636807,Pipeline
litter,litter_10_ab,1,0.9478605000475422,5.493046226285108,0.9699353745888463,1.2431926550419119e-05,0.03384806254147096,0.22834075403321635,inf,8.773461116620723e-06,0.00030734745737563484,0.9996838790815078,Pipeline
litter,litter_10_ab,2,0.9736895064856257,40.20467267898581,0.9956726615415027,6.273365167948096e-06,0.023463966271697147,0.1622050970665667,inf,0.00251941218420681,0.0029142372043188566,0.9945663506114742,Pipeline
litter,litter_10_be,1,0.9454068972793002,2.420424169516743,0.924739603547025,1.3016953438411976e-05,0.03281445921173192,0.23365166962960016,inf,8.151668094635587e-05,0.0442949220526767,0.955623561266377,Pipeline
litter,litter_10_be,2,0.9672185856379543,13.711789637900731,0.9423125439348138,7.816264750130128e-06,0.02882343521462893,0.18105638448297193,inf,0.004155274344007843,0.054473378412984955,0.9413713472430072,Pipeline
litter,litter_11_ab,1,0.9031072153519055,11.586937942118366,0.9197229387634008,2.3102714508367772e-05,0.04848002235297904,0.3112760585848106,inf,0.00046170129969256435,0.010818985394590535,0.9887193133057167,Pipeline
litter,litter_11_ab,2,0.9854269470720644,84.0891214987739,1.000498779859433,3.4747384186780403e-06,0.027617016329671337,0.12071890045860963,inf,0.0027280279633182234,0.004106078960984896,0.9931658930756969,Pipeline
