comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
som,2,5,0.9999999166952014,0.24585278197499458,1.0000152652583603,6.21214009182265e-11,3.0443494495293027e-05,0.000288625706809601,inf,0.0011706450463072405,0.0028125203065117806,0.996016834647181,carbon_05,PFT05,Passive,asp,BaggingRegressor
som,2,6,0.9999994384560946,0.9707957903641068,1.000034350301151,4.1875011588564e-10,0.00013158145132457927,0.0007493623325218871,inf,0.0003309778318445264,0.00213565358790578,0.9975333685802497,carbon_06,PFT06,Passive,asp,BaggingRegressor
som,2,7,0.9999981468554141,1.603952792973683,0.9998982702193863,1.381912442902872e-09,0.00031292508188756284,0.0013613025328459325,0.0063398685721809565,0.0009253325318754866,0.005483913228406603,0.993590754239718,carbon_07,PFT07,Passive,asp,BaggingRegressor
som,2,8,0.9998666849041633,14.55969612297375,0.9995415045269156,9.941468742485223e-08,0.003378580416595498,0.011546215650018272,0.007911779762983377,0.00022930094590695003,0.0011522261241453213,0.9986184729299477,carbon_08,PFT08,Passive,asp,XGBRegressor
som,2,9,0.9999973399885886,0.776794962324366,1.0000159669491862,1.9836028421654636e-09,0.00039729378660509465,0.0016309541413981837,inf,0.00012256109864587148,0.00011247088395841653,0.9997649680173957,carbon_09,PFT09,Passive,asp,BaggingRegressor
som,2,10,0.9999982777087978,1.2354932727280643,0.9998711560183362,1.284333484156584e-09,0.0002679021157176659,0.0013123609268238595,inf,0.00012982983393300203,0.009511592216175696,0.9903585779498912,carbon_10,PFT10,Passive,asp,BaggingRegressor
som,2,11,0.9999994873258339,0.9797468796354905,0.9999334584911697,3.823073572904672e-10,0.0001364012541410512,0.0007160126857301597,inf,0.00019236010025833604,0.008570788395985775,0.9912368515037558,carbon_11,PFT11,Passive,asp,BaggingRegressor
som,2,12,0.9999192682065741,8.666736771045345,1.0006549630485113,6.020267966141848e-08,0.002057966697410043,0.008985087279818832,inf,0.0006134717708763202,0.005984161051791998,0.9934023671773317,carbon_12,PFT12,Passive,asp,XGBRegressor
som,2,13,0.9999999695426711,0.05274115594820141,1.0000097866432989,2.2712400369386273e-11,1.6525302726009684e-05,0.00017452028218905387,inf,5.174659651265766e-05,0.0031544373795336896,0.9967938160239536,carbon_13,PFT13,Passive,asp,XGBRegressor
som,2,14,0.999999969349563,0.025763687604531474,0.9999753733430953,2.2856403395352144e-11,1.2242284451159263e-05,0.0001750726619240344,inf,0.0015740417531894934,0.019762646251786222,0.9786633119950243,carbon_14,PFT14,Passive,asp,BaggingRegressor
som,2,15,0.9999606894054826,6.500072567084924,1.0000386785380386,2.9314388156186227e-08,0.001590197053602202,0.006269816147021039,0.0031832461616895878,0.0018063549967344916,8.645245125709635e-05,0.9981071925520084,carbon_15,PFT15,Passive,asp,BaggingRegressor
som,3,2,0.9999793747633902,2.624824392250186,0.9998589533414732,1.5380489641936135e-08,0.0008068924637814928,0.004541501580957157,inf,0.00018465240197879324,0.0008287964104492605,0.998986551187572,carbon_02,PFT02,Slow,asp,XGBRegressor
som,3,3,0.9999883856840808,1.7870959599550127,0.9994521451350452,8.660936554258099e-09,0.0006083434146737223,0.0034079782744700876,inf,0.0014644432382767514,0.025312236711071957,0.9732233200506514,carbon_03,PFT03,Slow,asp,XGBRegressor
