comp,var,ind,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,alg
biomass,biomass_06_p,9,0.4286821384602958,0.015376501444451303,0.8128243820644581,0.0009601980866213516,0.07001052130440849,0.7558557147628799,inf,0.0003071267469155465,0.015459253188719562,0.9842336200643649,Pipeline
biomass,biomass_06_p,10,0.7682769188416672,0.10311886200693099,0.8613324966783228,0.00038945055656862664,0.08982795393456988,0.48137623659496614,0.5031792530516255,0.03470477255421561,0.003192011784597635,0.9621032156611867,Pipeline
biomass,biomass_06_p,11,0.6832617366834335,0.04435465534461808,0.7738884431884835,0.000532333215658095,0.1479804664370605,0.5627950455686035,0.31082782523701913,0.012341718294398946,0.016508725557525673,0.9711495561480754,Pipeline
biomass,biomass_06_p,12,0.7100696020792219,0.031905399574409854,0.7568288594967253,0.0004872779796987867,0.10890648521295801,0.53845185292724,1.2273867740931264,0.0029492254461520053,0.037338723241619715,0.9597120513122281,Pipeline
biomass,biomass_06_p,13,0.739966359085608,0.021894947413344044,0.8225355965177401,0.0004370313292678857,0.0986436144717874,0.5099349379228608,7.293625479851272,0.0030502414530083934,0.00925113030714196,0.9876986282398497,Pipeline
biomass,biomass_06_p,14,0.7000046068389374,0.04257144411714437,0.8603184668350377,0.0005041939380858195,0.09738539062362779,0.5477183520396799,0.4261036476420243,0.015684551015471383,0.00020972837392575379,0.9841057206106029,Pipeline
biomass,biomass_06_p,15,0.8266107369448252,0.08131749955377884,0.8881951591965912,0.000291410526143151,0.07040184375947224,0.41640036389894625,2.8921263696495054,0.018037650872941912,0.004216737506483529,0.9777456116205745,Pipeline
biomass,biomass_07,2,0.7161456542300073,3.0410070723867633,0.8105562198152777,0.0004770661273445255,0.1284687612595489,0.5327798286065198,0.3485539011171586,0.00012517233262276267,0.008362600464716296,0.991512227202661,Pipeline
biomass,biomass_07,3,0.5236588722062836,1.1739103569408418,0.739112376684417,0.0008005733240230528,0.1439280625590128,0.6901747081672267,0.8081975556314364,0.007938307014582036,0.0013035114621090685,0.990758181523309,Pipeline
biomass,biomass_07,4,0.7181332057856459,3.772994076237595,0.8072030953359657,0.0004737257045619397,0.08949572414917667,0.5309112865765373,0.5151503844817376,0.027652798245681186,0.011692563566606487,0.9606546381877122,Pipeline
biomass,biomass_07,5,0.748133904321133,3.731331252693449,0.7823102606215543,0.0004233043624854908,0.09572916703864531,0.5018626263021255,0.41981058034491237,0.0030417496243353034,0.03722442799394656,0.9597338223817181,Pipeline
biomass,biomass_07,6,0.30287050638140445,0.3421673859534577,0.5142904531055176,0.0011716462077623455,0.0705207089593325,0.83494280859146,inf,0.0016999731588040322,0.03176491893370191,0.966535107907494,Pipeline
biomass,biomass_07,7,0.6444075304777805,2.094291406053166,0.9537946062298575,0.0005976344025583519,0.08135525384174125,0.5963157464986308,1.6070443132277907,0.05327444821175012,0.03748570008239779,0.909239851705852,Pipeline
biomass,biomass_07,8,0.5234307190061206,0.011544322991403044,0.9794317865637313,0.0008009567747796294,0.034151539866918185,0.6903399749354512,inf,0.01347375649439223,0.08012717090574288,0.906399072599865,Pipeline
biomass,biomass_07,9,0.03615049991782404,0.12417659013713925,0.7936182839491189,0.0016199151261885312,0.07306083813570306,0.9817583715365894,inf,0.01069335442194971,0.060400165390261995,0.9289064801877883,Pipeline
biomass,biomass_07,10,0.7508364364782656,0.5165256722152857,0.7094165659614688,0.00041876229163316704,0.08775728316652992,0.49916286272291366,1.7378679017271765,0.0007098564814130338,0.13410848725690117,0.8651816562616857,Pipeline
