comp,var,ind,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,alg
biomass,biomass_07_n,9,-0.2490993170748781,0.0029105384807153753,0.7706012392295444,0.002099326583319123,0.07064981961020475,1.1176311185157999,inf,0.006551391719329406,0.08982333434355542,0.9036252739371152,Pipeline
biomass,biomass_07_n,10,0.623854055388568,0.02675068150344379,0.6087981883110695,0.000632178058170474,0.09614136259949498,0.6133073818334751,2.81779470815676,7.091233598122005e-05,0.13999015473882606,0.8599389329251927,Pipeline
biomass,biomass_07_n,11,0.7443603910197248,0.017354687166469058,0.8087927457031984,0.00042964640164752123,0.12307137246747839,0.5056081575491786,0.28557897615867206,0.0010002043675457384,0.016870506268465604,0.9821292893639886,Pipeline
biomass,biomass_07_n,12,0.8115158137146822,0.014707174665978187,0.7984450969600193,0.00031678014501734087,0.0877922807585781,0.4341476549347213,0.9087629275912088,0.0032813101232130005,0.06911409146655055,0.9276045984102363,Pipeline
biomass,biomass_07_n,13,0.7049283908001244,0.017265113434077557,0.7711705353053289,0.0004959186709241609,0.10761595283419091,0.5432049421718066,12.101653814659556,0.006816984010898274,0.02506344986565581,0.9681195661234459,Pipeline
biomass,biomass_07_n,14,0.8299193379871903,0.009744319109288743,0.9265111838810974,0.0002858498521223692,0.06704150317742198,0.4124083680198665,0.28960549531840274,0.007021932962879494,0.0006979123156272287,0.9922801547214932,Pipeline
biomass,biomass_07_n,15,0.8807928849331081,0.006328123928869698,0.8722985733735004,0.0002003480925493981,0.0336444338540105,0.34526383399784555,inf,0.00025324436943422764,0.04181916020606384,0.9579275954245021,Pipeline
biomass,biomass_07_p,2,0.7020741028442041,0.014611008859125961,0.8213485233248548,0.0005007157935391529,0.1286398761870272,0.5458258853845207,0.36057494636801435,0.0016766754629157334,0.0031020574211470696,0.9952212671159372,Pipeline
biomass,biomass_07_p,3,0.6932147963363049,0.0038720989871739438,0.719477094523952,0.0005156053843087312,0.1033466474240388,0.5538819401855373,1.20449227815772,0.0024453609041016674,0.06106573408475402,0.9364889050111442,Pipeline
biomass,biomass_07_p,4,0.760146172372004,0.008301097457204067,0.8406316452661564,0.0004031156766857076,0.08222163542306175,0.48974873928168106,0.4888289313274998,0.03553373797471004,0.00833120462120202,0.9561350574040879,Pipeline
biomass,biomass_07_p,5,0.7239361491928835,0.01427488727536516,0.7696109771537928,0.0004639728584993553,0.09697841788761931,0.5254177869154378,0.5278533054199749,0.0019362197406660512,0.03433915190824966,0.9637246283510844,Pipeline
biomass,biomass_07_p,6,0.39177167193505547,0.0010987058562068538,0.47911023667549474,0.001022232484142764,0.06284031099058261,0.7798899461237749,inf,0.00231398238188617,0.1013709686110979,0.896315049007016,Pipeline
biomass,biomass_07_p,7,0.6804003755945118,0.00474421241740271,0.9627926622025449,0.0005371422258915767,0.07696165755301243,0.5653314288145389,1.7887611595072146,0.055796281069097786,0.03640070895740268,0.9078030099734995,Pipeline
